#Instance: toyed_n20w140.005
# CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
1      17      7      0      0      384      0
2      48      3      0      104      233      0
3      27      39      0      19      160      0
4      45      3      0      155      325      0
5      9      37      0      222      353      0
6      46      33      0      57      200      0
7      2      25      0      0      79      0
8      14      33      0      0      105      0
9      1      45      0      0      131      0
10      38      36      0      36      154      0
11      25      26      0      255      361      0
999      0      0      0      0      0      0
