#Instance: n60w140.001
# CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    1      41      43       0       0     735       0
    2       4       1       0     536     679       0
    3      32       8       0     98     209       0
    4      43      45       0       0      61       0
    5      42      17       0     68     206       0
    6       8      45       0     242     382       0
    7      25      32       0      0      130       0
    8      49      46       0       0      91       0
    9      34      18       0      27     158       0
   10      13      38       0     244     347       0
   11      45      12       0     386     505       0
   12      35      40       0      0      123       0
   13      46      16       0      38     219       0
   14      30       1       0     509     617       0
   15      29       7       0     66     234       0
   16      42      30       0      18     186       0
   17      20      16       0     113     230       0
   18      42      37       0       0      105       0
   19      41      43       0      0      91       0
   20      39      28       0      37     161       0
   21      19      33       0     209     363       0
   22      27      19       0      0      145       0
   23       9      22       0     466     586       0
   24      48       4       0     387     541       0
   25      34      27       0      25     159       0
   26      34       8       0     75     200       0
   27       3      43       0     290     432       0
   28      15       7       0     104     247       0
   29      31      15       0      6      142       0
   30      48      34       0       0      47       0
   31      50       1       0     393     539       0
   32      17      13       0     190     332       0
   33      43      47       0      0      109       0
   34      45      46       0       0      79       0
   35       1      40       0     264     408       0
   36      24      28       0     208     319       0
   37       9       1       0     162     283       0
   38       2      30       0     307     447       0
   39      39      41       0     348     497       0
   40      44      19       0     69     187       0
   41      46      48       0       0      68       0
   42      37       0       0     390     522       0
   43      30      16       0     88     245       0
   44      19      13       0     127     231       0
   45      32      38       0      0      131       0
   46       4       4       0     174     313       0
   47      18      29       0     184     333       0
   48      14      13       0     130     260       0
   49      15      47       0     239     386       0
   50      23      47       0     235     366       0
   51      11      29       0     205     341       0
   52      43      29       0     412     588       0
   53      26       3       0     69     211       0
   54      14      39       0     281     401       0
   55      19       9       0     131     263       0
   56      47      39       0       0      112       0
   57      37      22       0      22     160       0
   58      11       5       0     146     272       0
   59      26      27       0      0      144       0
   60      14       2       0     152     258       0
   61       4      20       0     530     653       0
  999       0       0       0       0       0       0
